"scenario","obs_per_trial","n_subj","method","class_true","run","class_pred","RI","RIc","NMI","NMIc","warnings"
"sc1","2","400","BMEM_slope","4","3","5","0.94928415129728","0.978080650203188","0.794318913987552","0.924164441137179","1 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess"
"sc1","2","400","LCA","4","4","4","0.994985933104095","0.994985933104095","0.979605184782139","0.979605184782139","none"
"sc1","2","400","GLM_slope","4","4","6","0.934254454517037","0.929052829009065","0.749428419899513","0.80349384128527","none"
"sc1","2","400","BMEM_slope","4","4","6","0.939731165989372","0.983044701469209","0.749592097836466","0.941840179811565","1 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess"
"sc1","2","400","LCA","4","5","4","0.986770865895592","0.986770865895592","0.954348426790793","0.954348426790793","none"
"sc1","2","400","GLM_slope","4","5","6","0.946470772116286","0.930378243201","0.777456940820933","0.804408992694303","none"
"sc1","2","400","BMEM_slope","4","5","6","0.949884338855893","0.964663957486715","0.795906430052201","0.899207464548521","none"
"sc1","4","100","LCA","4","1","4","1","1","1","1","none"
"sc1","4","100","GLM_slope","4","1","6","0.916547842401501","0.934959349593496","0.71956973089284","0.849138853922327","none"
"sc1","4","100","BMEM_slope","4","1","6","0.872120075046904","0.97098186366479","0.600184201720871","0.917126987881822","none"
"sc1","4","100","LCA","4","2","4","1","1","1","1","none"
"sc1","4","100","GLM_slope","4","2","6","0.92375234521576","0.910343964978111","0.734483545525883","0.770560097032949","none"
"sc1","4","100","BMEM_slope","4","2","6","0.907942464040025","0.923151969981238","0.692700740037619","0.799797348473615","none"
"sc1","4","100","LCA","4","3","4","1","1","1","1","none"
"sc1","4","100","GLM_slope","4","3","6","0.964377736085053","0.981588492808005","0.850887638901541","0.948512723029648","none"
"sc1","4","100","BMEM_slope","4","3","5","0.931357098186366","0.990594121325829","0.76129999427573","0.969389493281113","none"
"sc1","4","100","LCA","4","4","4","1","1","1","1","none"
"sc1","4","100","GLM_slope","4","4","6","0.905741088180113","0.89213258286429","0.721955251752517","0.728649304422641","none"
"sc1","4","100","BMEM_slope","4","4","5","0.94656660412758","0.909543464665416","0.791010671143862","0.783186010764667","none"
"sc1","4","100","LCA","4","5","4","1","1","1","1","none"
"sc1","4","100","GLM_slope","4","5","6","0.901138211382114","0.897936210131332","0.672017347136047","0.7472313110815","2 Warnings: Model failed to converge with max|grad| = 0.179126 (tol = 0.002, component 1). Next warning: checkConv(attr(opt, ""derivs""), opt$par, ctrl = control$checkConv, lbound = environment(devfun)$lower). Next warning: Model is nearly unidentifiable: very large eigenvalue
 - Rescale variables?. Next warning: checkConv(attr(opt, ""derivs""), opt$par, ctrl = control$checkConv, lbound = environment(devfun)$lower)"
"sc1","4","100","BMEM_slope","4","5","6","0.926954346466542","0.94556597873671","0.740421711023408","0.852887066873971","none"
"sc1","4","200","LCA","4","1","4","1","1","1","1","none"
"sc1","4","200","GLM_slope","4","1","6","0.902669584245077","0.886164426383245","0.68110016285015","0.716293911213869","none"
"sc1","4","200","BMEM_slope","4","1","5","0.939731165989372","0.906520787746171","0.77093890650862","0.760850524254045","none"
"sc1","4","200","LCA","4","2","4","1","1","1","1","none"
"sc1","4","200","GLM_slope","4","2","5","0.943582369490466","0.953285401688028","0.784536315936907","0.881172266717517","none"
"sc1","4","200","BMEM_slope","4","2","5","0.943582369490466","0.939331040950297","0.784536315936907","0.838730546826657","none"
"sc1","4","200","LCA","4","3","4","1","1","1","1","none"
"sc1","4","200","GLM_slope","4","3","6","0.943732416380119","0.948183807439825","0.777461884457476","0.872286652592989","none"
"sc1","4","200","BMEM_slope","4","3","6","0.930378243201","0.995198499531104","0.753222692081387","0.982231269698451","none"
"sc1","4","200","LCA","4","4","4","1","1","1","1","none"
"sc1","4","200","GLM_slope","4","4","6","0.929327914973429","0.91562363238512","0.732522752620461","0.772852147844428","none"
"sc1","4","200","BMEM_slope","4","4","6","0.924326351984995","0.980793998124414","0.727130973305039","0.934063050456947","none"
"sc1","4","200","LCA","4","5","4","1","1","1","1","none"
"sc1","4","200","GLM_slope","4","5","5","0.902269459206002","0.869659268521413","0.714409273882584","0.68459277199226","none"
"sc1","4","200","BMEM_slope","4","5","6","0.905070334479525","0.932278837136605","0.670381464640813","0.825691542860569","none"
"sc1","4","400","LCA","4","1","4","1","1","1","1","none"
"sc1","4","400","GLM_slope","4","1","5","0.91943741209564","0.92896390060947","0.735225109578197","0.836863355064059","none"
"sc1","4","400","BMEM_slope","4","1","5","0.913986560400063","0.950279731208001","0.725284058316639","0.859940648417643","none"
"sc1","4","400","LCA","4","2","4","1","1","1","1","none"
"sc1","4","400","GLM_slope","4","2","5","0.876193155180497","0.883356774496015","0.633139343350615","0.708511419994081","none"
"sc1","4","400","BMEM_slope","4","2","5","0.922587904360056","0.917487107360525","0.737350588317032","0.807621836024556","1 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess"
"sc1","4","400","LCA","4","3","4","0.997612126894827","0.997612126894827","0.98990126767782","0.98990126767782","none"
