"scenario","obs_per_trial","n_subj","method","class_true","run","class_pred","RI","RIc","NMI","NMIc","warnings"
"sc1","2","200","LCA","4","1","4","0.984472361809045","0.984472361809045","0.958656704275522","0.958656704275522","0.945240134221599"
"sc1","2","200","GLM","4","1","6","0.931608040201005","0.965477386934673","0.877170127288895","0.90789648846141","0.751211953917828"
"sc1","2","200","LMEM","4","1","4","0.985125628140703","0.985125628140703","0.960435784014469","0.960435784014469","0.945175382347602"
"sc1","2","200","BMEM","4","1","3","0.891608040201005","0.980201005025126","0.743164645629164","0.947294535032275","0.729181454053647"
"sc1","2","200","BBMEM","4","1","0","0.938793969849246","0.970452261306533","0.893785915255752","0.921089670908213","0.753291470098631"
"sc1","2","200","LCA","4","2","4","0.995376884422111","0.995376884422111","0.987638495539818","0.987638495539818","0.982478308046063"
"sc1","2","200","GLM","4","2","6","0.957788944723618","0.960804020100502","0.968262199187229","0.894912405000902","0.815517417660881"
"sc1","2","200","LMEM","4","2","2","0.745075376884422","0.995376884422111","0.48979036933944","0.987638495539818","0.483097007610636"
"sc1","2","200","BMEM","4","2","3","0.884422110552764","1","0.731022402243216","1","0.746651584248474"
"sc1","2","200","BBMEM","4","2","0","0.961457286432161","0.99070351758794","0.991156473278573","0.975147655934198","0.815986995317851"
"sc1","2","200","LCA","4","3","4","0.994874371859297","0.994874371859297","0.9862126552501","0.9862126552501","0.982027972757294"
"sc1","2","200","GLM","4","3","6","0.954020100502513","0.952010050251256","0.985902159818685","0.870992054503513","0.791080226088096"
"sc1","2","200","LMEM","4","3","2","0.74894472361809","0.990050251256281","0.496839866454894","0.973232667547625","0.500140419282846"
"sc1","2","200","BMEM","4","3","4","0.994874371859297","0.994874371859297","0.9862126552501","0.9862126552501","0.982027972757294"
"sc1","2","200","BBMEM","4","3","0","0.961658291457286","0.980100502512563","1","0.946472661559213","0.825613122023199"
"sc1","2","200","LCA","4","4","4","0.994673366834171","0.994673366834171","0.985724602695066","0.985724602695066","0.98192338257259"
"sc1","2","200","GLM","4","4","5","0.960402010050251","0.956582914572864","0.946292431394546","0.883388854343919","0.83279157893662"
"sc1","2","200","LMEM","4","4","3","0.749346733668342","0.995226130653266","0.482472543404393","0.987196455767652","0.493722778582735"
"sc1","2","200","BMEM","4","4","2","0.744120603015075","0.994673366834171","0.487592561175013","0.985724602695066","0.482526154116181"
"sc1","2","200","BBMEM","4","4","0","0.965226130653266","0.980301507537688","1","0.947129042913815","0.825713248869583"
"sc1","2","200","LCA","4","5","4","0.994673366834171","0.994673366834171","0.985837308284495","0.985837308284495","0.981651560433106"
"sc1","2","200","GLM","4","5","6","0.945879396984925","0.945125628140704","0.986880573901901","0.854058695848015","0.776687351484881"
"sc1","2","200","LMEM","4","5","2","0.744874371859297","0.989095477386935","0.490106165120608","0.971016211376717","0.483099590365345"
"sc1","2","200","BMEM","4","5","3","0.898643216080402","0.994673366834171","0.760919695945591","0.985837308284495","0.762173918520824"
"sc1","2","200","BBMEM","4","5","0","0.945879396984925","0.990050251256281","0.986880573901901","0.973520484810206","0.776687351484881"
"sc1","4","200","LCA","4","1","4","1","1","1","1","1"
"sc1","4","200","GLM","4","1","5","0.88572864321608","0.884623115577889","0.729381631381886","0.692452011861165","0.659025670283147"
"sc1","4","200","LMEM","4","1","2","0.752361809045226","1","0.503500590383866","1","0.50262190611145"
"sc1","4","200","BMEM","4","1","3","0.902763819095477","1","0.770418747285585","1","0.778912821222852"
"sc1","4","200","BBMEM","4","1","0","0.935527638190955","0.995075376884422","0.842430168925973","0.986853573412708","0.751822942776232"
"sc1","4","200","LCA","4","2","4","1","1","1","1","1"
"sc1","4","200","GLM","4","2","6","0.9278391959799","0.917286432160804","0.952310051675113","0.779461345543393","0.750943065203049"
"sc1","4","200","LMEM","4","2","2","0.750251256281407","1","0.499871684822527","1","0.501017372144669"
"sc1","4","200","BMEM","4","2","3","0.891356783919598","1","0.746476395012402","1","0.766625316688364"
"sc1","4","200","BBMEM","4","2","0","0.913618090452261","0.986130653266332","0.96738564471812","0.962935487273431","0.696395451583693"
"sc1","4","200","LCA","4","3","4","1","1","1","1","1"
"sc1","4","200","GLM","4","3","6","0.948040201005025","0.947939698492462","1","0.860174325376252","0.79214097387542"
"sc1","4","200","LMEM","4","3","2","0.74894472361809","1","0.496839866454894","1","0.500140419282846"
"sc1","4","200","BMEM","4","3","3","0.881909547738693","1","0.726418333880692","1","0.757441797698311"
"sc1","4","200","BBMEM","4","3","0","0.908040201005025","0.994974874371859","1","0.986481145226073","0.679167105248619"
"sc1","4","200","LCA","4","4","4","1","1","1","1","1"
"sc1","4","200","GLM","4","4","6","0.902110552763819","0.919698492462312","0.899131922695462","0.785083298688934","0.68138779729124"
"sc1","4","200","LMEM","4","4","2","0.749798994974874","1","0.498735015717269","1","0.500793270404678"
"sc1","4","200","BMEM","4","4","3","0.885477386934673","1","0.7341517150002","1","0.761228484016966"
"sc1","4","200","BBMEM","4","4","0","0.9121608040201","0.995226130653266","0.98508485387997","0.987196455767652","0.686152466945565"
"sc1","4","200","LCA","4","5","4","1","1","1","1","1"
"sc1","4","200","GLM","4","5","6","0.916130653266332","0.873718592964824","0.862244674349792","0.664750571293016","0.724190369672438"
"sc1","4","200","LMEM","4","5","2","0.750954773869347","1","0.501884607378589","1","0.501731979448684"
"sc1","4","200","BMEM","4","5","3","0.902010050251256","1","0.769283732921065","1","0.778411968828338"
"sc1","4","200","BBMEM","4","5","0","0.904623115577889","0.973015075376884","0.844370831219566","0.927968383659142","0.670381464640813"
"sc2","2","200","LCA","4","1","4","0.935879396984925","0.935879396984925","0.829057566636979","0.829057566636979","0.828537921069163"
"sc2","2","200","GLM","4","1","4","0.776582914572864","0.776582914572864","0.423540767240673","0.423540767240673","0.483838439538612"
"sc2","2","200","LMEM","4","1","6","0.88286432160804","0.920201005025126","0.875415530774017","0.787572897541251","0.640132805576032"
"sc2","2","200","BMEM","4","1","6","0.905427135678392","0.935879396984925","0.94167342868981","0.829057566636979","0.69976900459689"
"sc2","2","200","BBMEM","4","1","0","0.888391959798995","0.926834170854271","0.732225444866143","0.805412849013805","0.670938524077526"
"sc2","2","200","LCA","4","2","4","0.907839195979899","0.907839195979899","0.753443049462648","0.753443049462648","0.757447433823969"
"sc2","2","200","GLM","4","2","4","0.793065326633166","0.793065326633166","0.463830885864394","0.463830885864394","0.485002729093526"
"sc2","2","200","LMEM","4","2","6","0.873115577889447","0.881809045226131","0.785302964248545","0.684656111320608","0.637697452832073"
"sc2","2","200","BMEM","4","2","5","0.883718592964824","0.907839195979899","0.790902304018559","0.753443049462648","0.670674046827303"
"sc2","2","200","BBMEM","4","2","0","0.895929648241206","0.907839195979899","0.908266766236408","0.753443049462648","0.684532641164427"
"sc2","2","200","LCA","4","3","4","0.93894472361809","0.93894472361809","0.835914356584757","0.835914356584757","0.816788027399642"
"sc2","2","200","GLM","4","3","4","0.800753768844221","0.800753768844221","0.472461604530259","0.472461604530259","0.540130681274434"
"sc2","2","200","LMEM","4","3","6","0.89713567839196","0.800753768844221","0.784199543080867","0.472461604530259","0.670137613456916"
"sc2","2","200","BMEM","4","3","4","0.93894472361809","0.93894472361809","0.835914356584757","0.835914356584757","0.816788027399642"
"sc2","2","200","BBMEM","4","3","0","0.903266331658291","0.96251256281407","0.801381005637141","0.899218315000341","0.695932974278957"
"sc2","2","200","LCA","4","4","4","0.91643216080402","0.91643216080402","0.776447414448445","0.776447414448445","0.774383684094584"
"sc2","2","200","GLM","4","4","4","0.793768844221105","0.793768844221105","0.461334546865634","0.461334546865634","0.512443965507577"
"sc2","2","200","LMEM","4","4","5","0.878090452261307","0.924020100502513","0.781718552696478","0.799368454184776","0.673945780808031"
